,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,target,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
66597,66597,24000,0.1033,778.14,MORTGAGE,240000,Verified,high_risk,n,10.99,0,1,9,0,10747,13,w,17457.85,17457.85,8545.77,8545.77,6542.15,2003.62,0,0,0,0,0,1,Joint App,0,0,520896,1,4,2,2,4,58394,71,0,0,7341,73,11600,0,2,1,3,57877,159,97.9,0,0,135,201,191,4,2,194,4,0,1,3,1,1,7,3,3,3,9,0,0,0,3,91.7,100,0,0,552765,76948,7500,82279,N,N
66616,66616,12750,0.2055,341.72,MORTGAGE,65000,Source Verified,high_risk,n,16.47,0,2,29,0,7074,38,w,11416.69,11416.69,3402.64,3402.64,1333.31,2069.33,0,0,0,0,0,1,Individual,0,420,43778,2,10,1,2,4,36704,93,1,6,2871,65,27400,3,0,3,8,1684,13409,33.9,0,0,168,326,6,4,0,6,4,0,4,7,13,13,14,19,24,7,29,0,0,0,2,100,30,0,0,66987,43778,20300,39587,N,N
66636,66636,16000,0.1862,411.72,MORTGAGE,60000,Source Verified,high_risk,n,26.58,0,0,12,0,18116,26,w,14055.82,14055.82,4512.37,4512.37,1944.18,2568.19,0,0,0,0,0,1,Individual,0,554,151380,1,2,0,0,27,26537,15,3,5,7957,25,68400,0,0,1,6,12615,34884,34.2,0,0,148,352,4,4,2,4,12,1,5,5,7,9,9,9,15,5,12,0,0,0,3,84.6,0,0,0,227228,44653,53000,50428,N,N
66659,66659,10000,0.0881,317.12,RENT,54000,Not Verified,high_risk,n,15.47,0,0,13,0,5755,18,w,0,0,1580.71,1580.71,1064.15,516.56,0,0,0,317.12,0,1,Individual,0,0,14121,1,1,0,1,15,8366,70,1,1,1862,42,22000,0,0,0,2,1086,6692,45.1,0,0,78,80,2,2,0,2,15,0,5,7,9,10,4,12,14,7,13,0,0,0,1,100,22.2,0,0,34000,14121,12200,12000,N,N
66664,66664,40000,0.143,936.97,RENT,100000,Not Verified,high_risk,n,15.49,0,0,8,0,40793,18,w,0,0,6250.98,6250.98,460.3,444.89,0,5345.79,962.2422,0,0,1,Individual,0,0,56819,0,1,1,1,9,16026,53,0,1,14676,56,72100,1,0,1,2,7102,24549,62.1,0,0,162,189,17,9,3,17,10,0,5,6,5,7,4,7,11,6,8,0,0,0,1,100,20,0,0,102100,56819,64700,30000,N,N
66675,66675,35000,0.2305,987.68,MORTGAGE,123000,Verified,high_risk,n,21.65,0,1,17,0,42726,60,w,0,0,1930.54,1930.54,636.83,1293.71,0,0,0,0,0,1,Individual,0,0,228598,1,7,2,8,4,68177,96,0,0,3260,74,78400,4,11,6,8,14287,14175,19,0,0,181,154,31,4,1,37,1,1,2,5,4,10,38,9,21,5,17,0,0,0,2,98.2,0,0,0,280619,110903,17500,71219,N,N
66688,66688,15000,0.288,474.31,RENT,43000,Not Verified,high_risk,n,28.13,0,2,20,0,15632,50,w,0,0,1873.24,1873.24,527.77,1345.47,0,0,0,0,0,1,Individual,0,0,30034,5,2,2,3,2,14402,79,5,9,769,48,43900,4,4,4,12,1502,7599,30.9,0,0,119,126,3,2,0,4,2,3,7,13,8,12,19,18,31,13,20,0,0,0,7,88,12.5,0,0,62202,30034,11000,18302,N,N
66697,66697,26575,0.288,840.31,RENT,80000,Not Verified,high_risk,n,30.53,0,0,12,0,8243,18,w,25735.33,25735.33,6679.96,6679.96,839.67,5840.29,0,0,0,840.31,0,1,Individual,0,0,275272,0,4,1,5,10,81397,90,3,4,3872,74,22400,3,0,3,9,22939,9523,41.9,0,0,43,63,8,8,2,11,3,0,4,5,5,6,7,7,9,5,12,0,0,0,4,100,60,0,0,309262,89640,16400,93736,N,N
66740,66740,15950,0.1102,522.34,RENT,80000,Source Verified,high_risk,n,26.27,0,0,9,1,4873,19,w,0,0,3023.27,3023.27,755.19,279.73,0,1988.35,357.903,522.34,0,1,Individual,0,0,74720,0,3,0,2,16,69847,66,1,4,2473,53,18800,1,5,1,6,8302,13127,27.1,0,0,160,67,12,12,0,12,2,0,4,4,5,5,13,6,6,4,9,0,0,0,1,94.7,0,1,0,112107,74720,18000,93307,N,N
66759,66759,32000,0.1524,765.32,RENT,80000,Not Verified,high_risk,n,18.47,0,0,9,0,41936,17,w,30909.51,30909.51,4564.83,4564.83,1090.49,3474.34,0,0,0,382.66,0,1,Joint App,0,0,52907,1,1,0,1,14,10971,75,1,1,17200,57,77900,3,0,0,2,5879,32964,56,0,0,55,223,5,5,0,5,14,0,5,5,7,9,2,8,15,5,9,0,0,0,1,100,42.9,0,0,92500,52907,74900,14600,N,N
